magnification,detector,image_path,tile_x,tile_y,pitch_1d_um,n_grooves,sd_grooves_um,profile_height,pitch_fft_um,fft_peak_freq,fft_snr,fft_quality,fft_peak_width_fwhm
500,BED-S,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/BED-S/Grp_001_BED-S_X000_Y000.png,0,0,1.65499,10,0.015966,0.149151,1.653815466149347,0.008063741253460804,352.2504456256221,sub-bin,0.984375
500,BED-S,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/BED-S/Grp_001_BED-S_X000_Y001.png,0,1,1.649211,9,0.013336,0.167036,1.6484769646476256,0.008089855233646323,303.2368744641056,sub-bin,0.984375
500,BED-S,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/BED-S/Grp_001_BED-S_X000_Y002.png,0,2,1.647729,9,0.01352,0.180057,1.646616009229697,0.008098998142401568,341.3530528229324,sub-bin,0.984375
500,BED-S,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/BED-S/Grp_001_BED-S_X000_Y003.png,0,3,1.646248,9,0.009688,0.181197,1.6439332084734255,0.008112215223381186,334.8637738179392,sub-bin,0.984375
500,BED-S,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/BED-S/Grp_001_BED-S_X000_Y004.png,0,4,1.644766,9,0.011549,0.189418,1.647225307995966,0.008096002371542399,320.9081907276526,sub-bin,0.984375
500,BED-S,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/BED-S/Grp_001_BED-S_X000_Y005.png,0,5,1.644766,9,0.023099,0.180028,1.64190944959334,0.008122214049808276,251.8724113163243,sub-bin,0.984375
500,BED-S,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/BED-S/Grp_001_BED-S_X000_Y006.png,0,6,1.644321,10,0.009001,0.19093,1.6405556325452149,0.008128916652043162,299.34151094707454,sub-bin,0.984375
500,BED-S,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/BED-S/Grp_001_BED-S_X000_Y007.png,0,7,1.644321,10,0.010979,0.173362,1.6437233712197017,0.008113250826447916,315.1751307117706,sub-bin,0.984375
500,BED-S,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/BED-S/Grp_001_BED-S_X000_Y008.png,0,8,1.646989,10,0.014404,0.18083,1.6521387203215812,0.008071925096824932,368.468449543002,sub-bin,0.984375
500,BED-S,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/BED-S/Grp_001_BED-S_X000_Y009.png,0,9,1.638839,9,0.014057,0.183878,1.6381146144536762,0.008141029865878852,322.14341807632576,sub-bin,0.984375
500,BED-S,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/BED-S/Grp_001_BED-S_X000_Y010.png,0,10,1.641802,9,0.012375,0.184801,1.6401376792752185,0.008130988128931461,351.9114513925692,sub-bin,0.984375
500,BED-S,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/BED-S/Grp_001_BED-S_X000_Y011.png,0,11,1.637357,9,0.008891,0.175629,1.6358270204695398,0.008152414548191114,319.1435815368764,sub-bin,0.984375
500,BED-S,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/BED-S/Grp_001_BED-S_X000_Y012.png,0,12,1.638839,9,0.019377,0.203924,1.6415868604839712,0.008123810150422567,332.0904213999908,sub-bin,0.984375
500,BED-S,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/BED-S/Grp_001_BED-S_X000_Y013.png,0,13,1.638839,9,0.014057,0.190775,1.6333260612651264,0.008164897576954336,319.76429216281485,sub-bin,0.984375
500,BED-S,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/BED-S/Grp_001_BED-S_X000_Y014.png,0,14,1.634986,10,0.019068,0.184681,1.6372768280991457,0.008145195590096289,350.8293382479216,sub-bin,0.984375
500,BED-S,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/BED-S/Grp_001_BED-S_X001_Y000.png,1,0,1.650989,10,0.01514,0.147633,1.6515690619892234,0.00807470926098458,305.00258896509274,sub-bin,0.984375
500,BED-S,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/BED-S/Grp_001_BED-S_X001_Y001.png,1,1,1.646989,10,0.014404,0.16663,1.6523040341926472,0.008071117496554585,371.2217626061473,sub-bin,0.984375
500,BED-S,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/BED-S/Grp_001_BED-S_X001_Y002.png,1,2,1.646248,9,0.01899,0.179081,1.6450970829869327,0.008106475987293407,330.65038902032575,sub-bin,0.984375
500,BED-S,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/BED-S/Grp_001_BED-S_X001_Y003.png,1,3,1.647729,9,0.022227,0.183546,1.6449778117287983,0.008107063757890158,335.1560889220444,sub-bin,0.984375
500,BED-S,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/BED-S/Grp_001_BED-S_X001_Y004.png,1,4,1.649211,9,0.013336,0.192934,1.6448560425459926,0.008107663926235117,328.68742619179574,sub-bin,0.984375
500,BED-S,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/BED-S/Grp_001_BED-S_X001_Y005.png,1,5,1.643284,9,0.011113,0.178937,1.6469921091129207,0.008097148690762588,308.23950509019966,sub-bin,0.984375
500,BED-S,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/BED-S/Grp_001_BED-S_X001_Y006.png,1,6,1.643284,9,0.02085,0.200217,1.6427112571606617,0.008118249596128328,229.94668937219507,sub-bin,0.984375
500,BED-S,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag500_SED-BED/BED-S/Grp_001_BED-S_X001_Y007.png,1,7,1.641802,9,0.022558,0.178272,1.638821517410188,0.008137518246083712,284.92056301496524,sub-bin,0.984375
