"magnification","detector","image_path","tile_x","tile_y","pitch_1d_um","n_grooves","sd_grooves_um","profile_height","pitch_fft_um","fft_peak_freq","fft_snr","fft_quality","fft_peak_width_fwhm"
750,"BED-S","/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/BED-S/Grp_001_BED-S_X000_Y000.png",0,0,1.65662,9,0.014575,0.176852,1.707,0.0078125,218.83,"excellent",0.984375
750,"BED-S","/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/BED-S/Grp_001_BED-S_X000_Y001.png",0,1,1.652323,10,0.013262,0.183853,1.707,0.0078125,241.35,"excellent",0.984375
750,"BED-S","/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/BED-S/Grp_001_BED-S_X000_Y002.png",0,2,1.652323,10,0.018275,0.177029,1.707,0.0078125,218.41,"excellent",0.984375
750,"BED-S","/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/BED-S/Grp_001_BED-S_X000_Y003.png",0,3,1.650989,10,0.01514,0.176508,1.707,0.0078125,230.61,"excellent",0.984375
750,"BED-S","/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/BED-S/Grp_001_BED-S_X000_Y004.png",0,4,1.650693,9,0.011113,0.179562,1.707,0.0078125,229.12,"excellent",0.984375
750,"BED-S","/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/BED-S/Grp_001_BED-S_X000_Y005.png",0,5,1.647729,9,0.01352,0.173145,1.707,0.0078125,233.7,"excellent",0.984375
750,"BED-S","/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/BED-S/Grp_001_BED-S_X000_Y006.png",0,6,1.647729,9,0.007029,0.174446,1.707,0.0078125,225.01,"excellent",0.984375
750,"BED-S","/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/BED-S/Grp_001_BED-S_X000_Y007.png",0,7,1.644766,9,0.00943,0.179235,1.707,0.0078125,218.44,"excellent",0.984375
750,"BED-S","/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/BED-S/Grp_001_BED-S_X000_Y008.png",0,8,1.647729,9,0.011761,0.162054,1.707,0.0078125,222.85,"excellent",0.984375
750,"BED-S","/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/BED-S/Grp_001_BED-S_X000_Y009.png",0,9,1.645655,10,0.009325,0.17857,1.707,0.0078125,222.47,"excellent",0.984375
